
    Multthread example output

    num_of_threads |  time(s)
    --------------------------
        2             75, 74
        3             49, 49
        5             31, 31
        10            17, 17
        30            10, 10
        60            10, 10
        100           10, 10
        150           10, 10
        185           10, 10
